City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,katsuura,35.1333,140.3,289.55,71,100,4.8,JP,1683754031
1,ndende,-2.4008,11.3581,296.87,97,53,0.66,GA,1683754032
2,ketchikan,55.3422,-131.6461,289.41,39,0,6.69,US,1683754033
3,puerto natales,-51.7236,-72.4875,276.76,87,94,0.51,CL,1683754034
4,miasskoye,55.2784,61.8905,275.64,70,50,2.1,RU,1683754035
5,rio grande,-32.035,-52.0986,293.21,63,0,3.94,BR,1683754036
6,adamstown,-25.066,-130.1015,295.07,59,100,9.79,PN,1683754037
7,port-aux-francais,-49.35,70.2167,280.04,93,84,11.47,TF,1683754038
8,bilibino,68.0546,166.4372,273.26,85,100,2.29,RU,1683754039
9,bethel,41.3712,-73.414,296.49,30,0,4.12,US,1683754040
10,chernomorskoye,45.5039,32.6997,283.44,74,10,3.56,UA,1683754041
11,port mathurin,-19.6833,63.4167,298.52,75,8,8.34,MU,1683754042
12,dudinka,69.4058,86.1778,250.7,99,19,2.86,RU,1683754045
13,tiksi,71.6872,128.8694,259.2,85,22,5.76,RU,1683754051
14,bikenibeu village,1.3673,173.1241,299.13,94,75,5.66,KI,1683754052
15,waitangi,-43.9535,-176.5597,286.18,74,60,14.54,NZ,1683754053
16,egersund,58.4513,5.9997,285.98,94,100,6.3,NO,1683754054
17,edinburgh of the seven seas,-37.0676,-12.3116,286.59,66,100,8.43,SH,1683754055
18,keflavik,64.0049,-22.5624,281.1,100,100,1.03,IS,1683754057
19,klyuchi,52.2667,79.1667,285.25,64,89,5.06,RU,1683754058
20,mount gambier,-37.8333,140.7667,280.35,93,0,3.02,AU,1683753913
21,labasa,-16.4167,179.3833,300.72,74,13,2.41,FJ,1683754060
22,hermanus,-34.4187,19.2345,289.71,92,79,5.07,ZA,1683754061
23,albany,42.6001,-73.9662,295.14,30,2,1.34,US,1683754017
24,madang,-5.2246,145.7966,298.46,91,92,1.35,PG,1683754062
25,kruisfontein,-34.0033,24.7314,293.48,21,0,3.91,ZA,1683754063
26,blackmans bay,-43.0167,147.3167,277.33,93,1,2.35,AU,1683754064
27,whitehorse,60.7161,-135.0538,289.16,30,75,8.75,CA,1683753767
28,puerto pilon,9.3644,-79.7933,300.89,74,62,3.09,PA,1683754066
29,hadibu,12.65,54.0333,301.96,65,60,1.57,YE,1683754066
30,tofol,5.3248,163.0078,301.69,75,88,3.61,FM,1683754067
31,spanish wells,26.323,-81.7957,305.94,66,0,5.14,US,1683754068
32,kachug,53.9606,105.8817,277.98,88,100,3.98,RU,1683754069
33,ola,59.5833,151.2833,274.42,83,24,2.12,RU,1683754069
34,constantia,44.1833,28.65,278.54,72,6,2.95,RO,1683754070
35,iqaluit,63.7506,-68.5145,273.0,64,20,5.66,CA,1683754071
36,bengkulu,-3.8004,102.2655,297.54,88,54,1.76,ID,1683754072
37,ancud,-41.8697,-73.8203,285.74,96,100,3.61,CL,1683754073
38,antofagasta,-23.65,-70.4,289.75,75,10,3.26,CL,1683753883
39,olonkinbyen,70.9221,-8.7187,273.88,99,100,5.43,SJ,1683754075
40,raufoss,60.7264,10.6172,276.8,98,34,1.53,NO,1683754076
41,jamestown,42.097,-79.2353,293.44,40,0,4.12,US,1683753783
42,zhangye,38.9342,100.4517,284.44,39,100,0.73,CN,1683754077
43,sisimiut,66.9395,-53.6735,274.4,73,30,6.1,GL,1683754078
44,ta`u,-14.2336,-169.5144,301.13,67,66,6.01,AS,1683754079
45,katsuren-haebaru,26.3369,127.8719,293.16,72,20,4.12,JP,1683754004
46,ribeira grande,38.5167,-28.7,290.25,83,5,4.02,PT,1683754081
47,at taj,24.2049,23.2857,297.18,25,0,6.31,LY,1683754081
48,avarua,-21.2078,-159.775,299.18,78,75,6.69,CK,1683754083
49,grytviken,-54.2811,-36.5092,272.3,78,100,5.24,GS,1683754084
50,intendente alvear,-35.2338,-63.592,290.85,31,72,3.13,AR,1683754085
51,yomju-up,39.8933,124.5981,284.26,66,1,1.69,KP,1683754087
52,worcester,42.3334,-71.8328,295.68,27,0,6.17,US,1683753853
53,wailua homesteads,22.0669,-159.378,299.39,67,0,5.66,US,1683754089
54,mbanza-ngungu,-5.25,14.8667,294.92,85,6,0.58,CD,1683754090
55,boa vista,2.8197,-60.6733,298.14,83,100,3.6,BR,1683754093
56,kyzyl-kyya,40.2568,72.1279,287.55,18,35,2.88,KG,1683754095
57,balezino,57.9796,53.0106,281.43,80,99,1.95,RU,1683754095
58,la passe,45.5549,-0.8967,287.03,80,98,5.17,FR,1683754098
59,zindah jan,34.3426,61.7468,297.82,16,84,3.06,AF,1683754099
60,souillac,-20.5167,57.5167,297.36,94,75,5.14,MU,1683754100
61,dambulla,7.86,80.6517,296.49,94,100,2.97,LK,1683754101
62,luderitz,-26.6481,15.1594,288.45,77,58,3.19,NA,1683754102
63,saipan,15.1355,145.701,300.73,100,20,3.13,MP,1683754103
64,shubarshi,48.5872,57.1869,285.75,82,100,5.65,KZ,1683754104
65,davyd-haradok,52.0566,27.2161,279.02,66,18,2.62,BY,1683754107
66,grand-bassam,5.2118,-3.7388,303.13,84,97,5.98,CI,1683754108
67,ushuaia,-54.8,-68.3,281.96,57,75,5.14,AR,1683754110
68,qoryooley,1.7878,44.53,298.38,86,23,4.68,SO,1683754113
69,laishevo,55.4046,49.5504,282.27,68,100,3.07,RU,1683754114
70,borba,-4.3878,-59.5939,299.03,89,100,1.24,BR,1683754116
71,pundong,-7.9522,110.3486,298.42,93,55,2.34,ID,1683754120
72,springbok,-29.6643,17.8865,287.89,36,3,1.96,ZA,1683754122
73,korla,41.7597,86.1469,289.74,28,3,0.18,CN,1683754124
74,cedeira,43.6797,-8.0209,287.25,76,35,3.07,ES,1683754125
75,tamanrasset,22.785,5.5228,299.1,10,17,2.57,DZ,1683754126
76,aasiaat,68.7098,-52.8699,271.38,79,48,3.11,GL,1683754127
77,stanley,54.868,-1.6985,284.65,85,20,3.09,GB,1683754128
78,yemva,62.59,50.8594,273.29,88,15,1.9,RU,1683754129
79,marsh harbour,26.5412,-77.0636,298.94,61,0,4.27,BS,1683754130
80,trairi,-3.2778,-39.2689,298.54,88,11,3.41,BR,1683754041
81,vilyuchinsk,52.9306,158.4028,275.3,89,86,1.84,RU,1683754132
82,hawaiian paradise park,19.5933,-154.9731,298.65,79,40,1.54,US,1683754133
83,fort bragg,35.139,-79.006,299.23,32,0,4.63,US,1683754134
84,kitaibaraki,36.7833,140.75,284.34,90,95,2.6,JP,1683754135
85,bardai,11.65,7.2333,302.88,27,100,1.63,NG,1683754135
86,minbu,20.1833,94.8833,303.12,55,95,2.57,MM,1683754137
87,petropavlovsk-kamchatsky,53.0452,158.6483,274.48,93,75,2.0,RU,1683754138
88,invercargill,-46.4,168.35,281.49,95,78,1.34,NZ,1683753991
89,bredasdorp,-34.5322,20.0403,287.52,93,84,2.71,ZA,1683754139
90,sirjan,29.452,55.6814,293.84,31,54,2.12,IR,1683754140
91,hasaki,35.7333,140.8333,288.83,62,78,6.81,JP,1683754141
92,smithers,54.7804,-127.1743,289.33,41,75,3.09,CA,1683754144
93,badger,64.8,-147.5333,288.29,36,75,2.57,US,1683754151
94,zaozersk,69.4005,32.4476,275.79,100,100,2.8,RU,1683754154
95,east london,-33.0153,27.9116,292.88,55,11,4.28,ZA,1683754156
96,kodiak,57.79,-152.4072,278.88,93,100,11.83,US,1683754158
97,boguchany,58.3814,97.4531,271.97,78,2,0.46,RU,1683754161
98,helena valley west central,46.6629,-112.0604,291.56,33,0,1.54,US,1683754162
99,kapuskasing,49.4169,-82.4331,296.2,21,40,3.6,CA,1683754085
100,longyearbyen,78.2186,15.6401,274.06,80,75,6.69,SJ,1683754003
101,formosa,-26.1775,-58.1781,296.14,70,0,1.03,AR,1683754166
102,richards bay,-28.783,32.0377,293.14,87,53,1.73,ZA,1683754167
103,pazarcik,37.4869,37.2996,285.26,63,58,1.8,TR,1683754168
104,shahrak,34.1074,64.3052,288.88,25,98,0.76,AF,1683754169
105,azuaga,38.2667,-5.6833,292.1,22,100,5.46,ES,1683754170
106,obigarm,38.7173,69.7088,285.67,47,52,3.67,TJ,1683754172
107,atafu village,-8.5421,-172.5159,302.37,76,9,7.67,TK,1683754173
108,udachny,66.4167,112.4,263.4,56,12,3.27,RU,1683754174
109,septemvri,42.2167,24.1,284.05,86,100,2.85,BG,1683754175
110,porto novo,6.4965,2.6036,302.05,78,98,3.78,BJ,1683753946
111,le vauclin,14.5452,-60.8388,302.18,65,100,6.17,MQ,1683754178
112,long beach,33.767,-118.1892,295.55,64,0,5.14,US,1683753958
113,papatowai,-46.5619,169.4708,280.72,73,100,7.28,NZ,1683754181
